time,x_true,y_true,v_true,yaw_true,nkf_x,nkf_y,nkf_v,nkf_yaw,ekf_x,ekf_y,ekf_v,ekf_yaw,ukf_x,ukf_y,ukf_v,ukf_yaw,nkf_xy_error,nkf_v_error,nkf_yaw_error,ekf_xy_error,ekf_v_error,ekf_yaw_error,ukf_xy_error,ukf_v_error,ukf_yaw_error
1.9,4.0964,4.34761,2.88932,0.831064,4.27238,4.36917,3.11596,0.846884,4.26004,4.4143,3.10909,0.854327,4.28001,4.36543,3.11759,0.845268,0.177294,-0.226641,0.0158195,0.176708,-0.219771,0.0232628,0.184471,-0.228277,0.0142036
2,4.29117,4.56103,2.9522,0.846527,4.52134,4.57963,3.13521,0.841512,4.5114,4.62528,3.12906,0.84825,4.53345,4.57315,3.13821,0.838857,0.230919,-0.183009,0.00501442,0.229413,-0.176858,0.00172369,0.242591,-0.186008,0.00766926
2.1,4.48678,4.78215,2.98257,0.87136,4.80264,4.75384,3.14666,0.830485,4.79184,4.80164,3.14015,0.837297,4.81527,4.74677,3.15002,0.827645,0.317134,-0.164088,0.0408755,0.305689,-0.157576,0.0340629,0.330393,-0.167448,0.0437156
2.2,4.67879,5.01037,2.89224,0.913418,4.95773,4.97238,3.12039,0.841439,4.94157,5.02386,3.11238,0.849119,4.97099,4.96541,3.1232,0.838828,0.281516,-0.228145,0.0719793,0.263125,-0.220137,0.0642985,0.295643,-0.230957,0.0745903
2.3,4.85552,5.23932,2.92407,0.930424,5.1146,5.20684,3.10333,0.853093,5.09267,5.26234,3.09392,0.86165,5.12787,5.20028,3.10555,0.850792,0.261112,-0.179254,0.0773304,0.23827,-0.16985,0.0687732,0.275138,-0.181475,0.0796318
2.4,5.03023,5.4738,3.02902,0.919329,5.34395,5.42192,3.11052,0.853218,5.31911,5.48038,3.10054,0.862082,5.35755,5.4151,3.11282,0.850895,0.317981,-0.081503,0.0661102,0.288953,-0.0715211,0.0572465,0.332541,-0.0838044,0.0684338
2.5,5.2139,5.71466,3.00702,0.929192,5.42009,5.75344,3.10311,0.880891,5.38959,5.8164,3.09237,0.890499,5.43607,5.74648,3.10512,0.878671,0.209813,-0.0960923,0.048301,0.203023,-0.0853462,0.0386928,0.224445,-0.0980963,0.050521
2.6,5.39386,5.95557,3.02237,0.934315,5.48965,6.0999,3.09906,0.909042,5.45184,6.1684,3.08738,0.919649,5.50621,6.09389,3.10043,0.907246,0.173227,-0.0766845,0.0252735,0.220593,-0.0650118,0.0146661,0.178201,-0.0780547,0.0270688
2.7,5.5735,6.19862,3.04556,0.936022,5.57108,6.42648,3.08904,0.934204,5.51968,6.50365,3.07518,0.946849,5.58088,6.42531,3.08835,0.934016,0.22787,-0.0434779,0.00181858,0.309741,-0.029616,0.0108261,0.226808,-0.0427874,0.00200655
2.8,5.7541,6.44385,3.02376,0.974722,5.78806,6.58981,3.07354,0.929595,5.72967,6.67017,3.05813,0.942919,5.79507,6.58958,3.07224,0.929759,0.149856,-0.0497783,0.045127,0.227629,-0.0343727,0.0318034,0.151376,-0.0484767,0.0449633
2.9,5.92386,6.69408,2.98525,0.942301,5.87735,6.91275,3.06974,0.950953,5.80755,7.00029,3.05291,0.965726,5.8795,6.91611,3.06714,0.952202,0.223556,-0.084489,0.00865163,0.327551,-0.0676577,0.0234249,0.226415,-0.0818902,0.00990049
3,6.09937,6.93556,2.979,0.933079,6.16628,7.11474,3.09985,0.938417,6.10764,7.19688,3.08527,0.950758,6.18313,7.10866,3.10063,0.936837,0.191263,-0.120847,0.00533813,0.261442,-0.106267,0.017679,0.192298,-0.121633,0.00375811
3.1,6.27673,7.17491,2.9708,0.942418,6.24263,7.42943,3.09245,0.957865,6.17784,7.51536,3.07727,0.970779,6.26116,7.42369,3.09301,0.956433,0.256788,-0.121644,0.0154469,0.354513,-0.106466,0.0283612,0.24926,-0.122207,0.0140149
3.2,6.45136,7.41525,2.9606,0.96082,6.33802,7.75426,3.09412,0.975579,6.26603,7.84492,3.07833,0.989213,6.35603,7.74982,3.09425,0.974548,0.357463,-0.133525,0.0147594,0.467939,-0.117729,0.0283934,0.347895,-0.133649,0.0137276
3.3,6.62096,7.65792,2.90077,0.973291,6.57605,8.01707,3.11964,0.974467,6.50345,8.10933,3.1042,0.987716,6.59691,8.01048,3.12063,0.972821,0.361947,-0.218874,0.0011759,0.466453,-0.20343,0.0144256,0.353379,-0.21986,0.000469623
3.4,6.78415,7.89773,2.8385,0.973628,6.78519,8.24807,3.12471,0.974641,6.7078,8.34289,3.10861,0.98813,6.80564,8.24137,3.12569,0.973002,0.350334,-0.286213,0.00101256,0.45166,-0.270109,0.0145018,0.344306,-0.287188,0.0006259
3.5,6.94376,8.13246,2.81,0.97405,6.96599,8.50235,3.12848,0.978944,6.88293,8.6002,3.11168,0.992804,6.98572,8.49605,3.12929,0.977452,0.370558,-0.318482,0.00489422,0.471682,-0.301682,0.0187543,0.366009,-0.319287,0.00340172
3.6,7.10167,8.36489,2.77695,0.974989,7.18121,8.7854,3.1497,0.981761,7.09401,8.88648,3.13272,0.99575,7.20058,8.77893,3.15068,0.980229,0.427963,-0.372752,0.00677118,0.521645,-0.355771,0.0207609,0.425684,-0.373734,0.00523912
3.7,7.2575,8.59474,2.80664,0.967792,7.30287,9.12622,3.1677,0.993063,7.2218,9.22569,3.15246,1.00577,7.33641,9.11392,3.17102,0.989818,0.533412,-0.361066,0.0252712,0.631961,-0.345823,0.0379736,0.525142,-0.364383,0.0220267
3.8,7.41667,8.8259,2.72577,0.974958,7.4039,9.37216,3.14252,1.00578,7.30378,9.47957,3.12416,1.02079,7.42314,9.36774,3.1428,1.00484,0.5464,-0.416756,0.0308235,0.663341,-0.398391,0.0458343,0.541872,-0.417036,0.029878
3.9,7.56964,9.05151,2.69748,0.957566,7.63485,9.46093,3.11068,0.997329,7.52164,9.57074,3.08948,1.0135,7.64492,9.45989,3.10932,0.997434,0.414577,-0.4132,0.0397634,0.521448,-0.391998,0.0559298,0.415262,-0.411834,0.0398676
4,7.72489,9.27211,2.76386,0.97939,7.63567,9.8037,3.09544,1.02062,7.51321,9.91729,3.07335,1.03768,7.64452,9.80534,3.09318,1.02143,0.539029,-0.331579,0.0412291,0.679018,-0.309488,0.058292,0.539253,-0.329316,0.0420395
4.1,7.87898,9.50155,2.76869,0.962612,7.64801,10.0858,3.06175,1.04252,7.49736,10.2108,3.03568,1.06301,7.63237,10.1007,3.05495,1.047,0.628265,-0.293052,0.079912,0.805358,-0.266981,0.100401,0.647952,-0.286257,0.0843847
4.2,8.03718,9.72878,2.77584,0.974066,7.89507,10.353,3.08964,1.03877,7.75017,10.4746,3.06483,1.05765,7.89,10.3608,3.08499,1.04131,0.640243,-0.313797,0.0647046,0.799149,-0.288997,0.0835862,0.648892,-0.309151,0.0672489
4.3,8.19316,9.95839,2.75765,0.948953,8.22104,10.5567,3.12226,1.02316,8.09569,10.6676,3.10029,1.0385,8.24278,10.5489,3.12237,1.02153,0.598992,-0.364614,0.0742112,0.71589,-0.342639,0.0895438,0.592608,-0.36472,0.0725759
4.4,8.35381,10.1825,2.82061,0.945757,8.36655,10.7876,3.11382,1.02746,8.23645,10.8985,3.09108,1.0429,8.3894,10.7796,3.11389,1.0258,0.605241,-0.293206,0.0817004,0.725571,-0.270472,0.0971482,0.598158,-0.293275,0.0800417
4.5,8.51885,10.4113,2.87634,0.934377,8.47106,11.0735,3.11031,1.03757,8.33555,11.1856,3.08698,1.05331,8.49435,11.0661,3.11013,1.03611,0.663988,-0.233967,0.103193,0.795708,-0.210641,0.118929,0.655319,-0.233785,0.101729
4.6,8.6898,10.6426,2.89711,0.920716,8.79427,11.3306,3.14779,1.0282,8.66139,11.442,3.12539,1.04281,8.82342,11.3188,3.14947,1.02544,0.695927,-0.250684,0.107488,0.799923,-0.228281,0.122093,0.689306,-0.252362,0.104727
4.7,8.86514,10.8732,2.958,0.926781,9.54411,11.5909,3.28306,0.980647,9.44256,11.696,3.26736,0.98975,9.60706,11.56,3.2941,0.97178,0.987933,-0.325059,0.0538654,1.00516,-0.309359,0.062969,1.01103,-0.336098,0.0449991
4.8,9.04275,11.1098,2.96219,0.964015,9.61348,11.8768,3.26238,0.996834,9.50194,11.9829,3.24428,1.00711,9.67254,11.8478,3.27112,0.989086,0.956061,-0.30019,0.0328195,0.986531,-0.282089,0.0430957,0.970263,-0.308925,0.025071
4.9,9.21166,11.3531,2.93987,0.984051,10.0849,12.2527,3.35482,0.980658,9.97764,12.3639,3.33949,0.989542,10.15,12.2205,3.36711,0.971443,1.25369,-0.414956,0.00339236,1.26828,-0.399624,0.00549138,1.27783,-0.427247,0.0126079
