time,x_true,y_true,v_true,yaw_true,nkf_x,nkf_y,nkf_v,nkf_yaw,ekf_x,ekf_y,ekf_v,ekf_yaw,ukf_x,ukf_y,ukf_v,ukf_yaw,nkf_xy_error,nkf_v_error,nkf_yaw_error,ekf_xy_error,ekf_v_error,ekf_yaw_error,ukf_xy_error,ukf_v_error,ukf_yaw_error
1.9,3.84907,4.55351,3.58941,1.01943,3.89121,5.09158,3.40255,1.00763,3.86033,5.14022,3.38414,1.02366,3.89275,5.09908,3.41358,1.00954,0.539719,0.186856,0.0118003,0.586816,0.205275,0.00422503,0.547315,0.175834,0.00989323
2,4.0371,4.85926,3.55625,1.0643,4.01197,5.10163,3.24471,0.967567,3.97858,5.14026,3.21984,0.981113,4.01687,5.10901,3.25465,0.967301,0.243667,0.31154,0.0967287,0.287031,0.336407,0.0831828,0.250572,0.301596,0.0969948
2.1,4.20962,5.17023,3.69565,1.0586,4.42725,5.57555,3.54389,0.940067,4.3937,5.62104,3.5242,0.952017,4.43436,5.58226,3.5596,0.938526,0.46005,0.151758,0.118533,0.486939,0.171446,0.106583,0.469331,0.136049,0.120073
2.2,4.39075,5.49237,3.77639,1.02636,4.63082,6.13947,3.71994,0.984616,4.59693,6.1896,3.70267,0.996885,4.63866,6.14465,3.73686,0.983365,0.690195,0.056454,0.0417443,0.727071,0.0737185,0.0294755,0.697804,0.0395276,0.0429958
2.3,4.58634,5.81541,3.94971,1.00304,4.84253,6.6942,3.95848,0.996396,4.81007,6.74699,3.94599,1.00696,4.85465,6.69716,3.98026,0.993499,0.915372,0.00876877,0.00664516,0.958069,0.00371892,0.00391919,0.92167,0.030556,0.00954161
2.4,4.79873,6.14842,3.75884,0.963546,4.88345,6.7403,3.71238,1.00027,4.8492,6.78933,3.69427,1.01171,4.89717,6.74857,3.73115,0.998371,0.597915,0.0464531,0.0367217,0.642894,0.064566,0.0481681,0.608169,0.0276898,0.0348247
2.5,5.01321,6.4571,3.9136,0.985892,5.01608,6.89627,3.56385,1.00885,4.97785,6.94117,3.53868,1.02129,5.0284,6.90656,3.5779,1.0082,0.439181,0.349754,0.0229596,0.485364,0.374926,0.0353989,0.44972,0.335697,0.0223116
2.6,5.22929,6.7834,3.96939,1.01728,5.18471,7.44783,3.75672,1.0318,5.14759,7.49621,3.73697,1.04334,5.20003,7.45757,3.77502,1.03034,0.665917,0.212678,0.0145178,0.717479,0.232426,0.0260567,0.674805,0.194372,0.0130567
2.7,5.43795,7.12107,3.98952,1.03374,5.32335,7.62114,3.6598,1.02764,5.28359,7.66559,3.63544,1.0392,5.33887,7.63202,3.67565,1.02637,0.513034,0.329727,0.0060928,0.565976,0.354083,0.00546555,0.520466,0.313875,0.00736172
2.8,5.64206,7.46386,3.73948,1.00675,5.59964,8.07872,3.76497,1.03663,5.5566,8.1243,3.73917,1.04837,5.61368,8.08959,3.77998,1.03595,0.616325,0.0254839,0.0298846,0.665954,0.000314655,0.0416246,0.626377,0.040502,0.0292016
2.9,5.84198,7.77988,3.71874,1.03272,5.71731,8.10353,3.54383,1.03246,5.66986,8.14194,3.5094,1.04493,5.72912,8.11546,3.55302,1.03278,0.346829,0.17491,0.000263912,0.400895,0.209344,0.0122057,0.354055,0.165721,5.52076e-05
3,6.03256,8.09921,3.43071,1.05631,6.16385,8.74489,3.8253,1.0253,6.113,8.79044,3.79441,1.03713,6.17379,8.75816,3.83789,1.02548,0.658892,0.394585,0.0310049,0.695901,0.363697,0.0191772,0.673919,0.407178,0.0308292
3.1,6.20138,8.39787,3.14696,1.08821,6.30217,9.17472,3.84013,1.06124,6.25051,9.21919,3.808,1.07378,6.31222,9.18831,3.85106,1.06245,0.783363,0.693169,0.0269707,0.822796,0.661038,0.0144288,0.798181,0.704094,0.0257605
3.2,6.34742,8.67662,2.85251,1.0386,6.51299,9.59918,3.83607,1.09528,6.45703,9.64297,3.80013,1.10943,6.51867,9.61462,3.84315,1.09892,0.937293,0.983556,0.0566786,0.972544,0.947614,0.0708233,0.953496,0.990631,0.0603219
3.3,6.49217,8.92242,2.88193,1.00666,6.69148,9.97404,3.83772,1.11183,6.63272,10.0161,3.79999,1.12619,6.69505,9.99022,3.84345,1.11616,1.07034,0.955796,0.10517,1.10264,0.918064,0.119531,1.0869,0.961522,0.1095
3.4,6.64626,9.16596,2.77103,0.960153,6.81595,9.95914,3.59458,1.10359,6.75209,9.99215,3.54751,1.11828,6.81519,9.97423,3.59391,1.10867,0.811124,0.823546,0.143432,0.832941,0.776479,0.158129,0.825736,0.822878,0.148515
3.5,6.80515,9.39299,2.76071,0.967752,6.93973,10.3757,3.68124,1.10873,6.87689,10.4083,3.63901,1.1217,6.94187,10.39,3.68479,1.11173,0.991867,0.920529,0.140981,1.01789,0.878301,0.153948,1.00637,0.924076,0.143978
3.6,6.96172,9.62036,3.05584,0.907967,7.00913,10.5548,3.64062,1.09045,6.94745,10.582,3.59927,1.10111,7.01542,10.5661,3.64653,1.09047,0.935608,0.584777,0.182483,0.961793,0.543428,0.193138,0.947237,0.59069,0.182501
3.7,7.14976,9.86124,2.83235,0.872443,7.24581,10.504,3.50311,1.0294,7.17882,10.5235,3.45564,1.03813,7.24952,10.5129,3.50785,1.02729,0.649847,0.670763,0.156956,0.662902,0.623293,0.165685,0.659295,0.6755,0.154843
3.8,7.33187,10.0782,2.69075,0.867606,7.52182,10.8971,3.5362,1.04258,7.45248,10.9161,3.48617,1.05203,7.5227,10.9057,3.53737,1.0416,0.840667,0.845443,0.17497,0.846558,0.795413,0.184425,0.849262,0.846619,0.173997
3.9,7.50587,10.2834,2.51949,0.878713,7.56912,11.0406,3.42321,1.05248,7.50022,11.0532,3.37032,1.06191,7.57206,11.0462,3.42206,1.05135,0.759804,0.903715,0.173769,0.769799,0.850826,0.183201,0.765695,0.902565,0.172633
4,7.66665,10.4774,2.8065,0.829159,7.79518,11.0662,3.29101,1.0232,7.72175,11.0708,3.23089,1.03206,7.79399,11.0686,3.28572,1.02181,0.60263,0.48451,0.194044,0.595968,0.424388,0.202903,0.604801,0.47922,0.192647
4.1,7.85623,10.6843,2.9185,0.773887,7.90111,11.374,3.33111,1.02804,7.82816,11.3786,3.27524,1.03658,7.90194,11.3762,3.32859,1.0261,0.691102,0.412607,0.254149,0.694845,0.356738,0.262694,0.69336,0.410087,0.252211
4.2,8.06496,10.8883,2.72106,0.734655,8.24953,11.8797,3.54515,1.00845,8.17461,11.8903,3.49632,1.01632,8.24838,11.885,3.54783,1.00607,1.00839,0.824092,0.273797,1.00799,0.775264,0.281667,1.01342,0.826777,0.271415
4.3,8.26688,11.0707,2.85718,0.681636,8.67654,11.774,3.60679,0.859657,8.59038,11.7829,3.55845,0.863787,8.66829,11.7799,3.61763,0.85361,0.813854,0.749609,0.178022,0.782227,0.701267,0.182151,0.814924,0.760451,0.171974
4.4,8.48875,11.2507,3.00614,0.643915,8.93934,11.8111,3.43141,0.854178,8.84989,11.8149,3.37446,0.858838,8.92885,11.8158,3.43674,0.848709,0.719056,0.425268,0.210263,0.669838,0.368318,0.214923,0.716249,0.430596,0.204794
4.5,8.72917,11.4312,2.77225,0.631828,9.12748,12.0432,3.4538,0.850748,9.03722,12.0451,3.39647,0.855818,9.11845,12.0464,3.45841,0.845543,0.730218,0.681549,0.21892,0.686892,0.624217,0.22399,0.728053,0.68616,0.213715
4.6,8.95287,11.5949,3.0364,0.618899,9.27234,12.0431,3.30409,0.840054,9.18032,12.0389,3.24073,0.845213,9.26398,12.0439,3.30542,0.834859,0.550375,0.26769,0.221155,0.498859,0.204328,0.226314,0.546251,0.269024,0.21596
4.7,9.2002,11.7711,2.86923,0.627466,9.60506,12.389,3.35404,0.848918,9.51309,12.387,3.29131,0.854812,9.59535,12.3901,3.35383,0.844436,0.73873,0.48481,0.221452,0.690811,0.422082,0.227346,0.734396,0.484604,0.21697
4.8,9.43246,11.9395,3.04944,0.567886,9.73581,12.3415,3.11162,0.852091,9.64253,12.3321,3.04033,0.858044,9.72604,12.3397,3.10602,0.847506,0.503607,0.0621747,0.284205,0.445236,0.00911529,0.290159,0.496263,0.0565742,0.27962
4.9,9.68954,12.1036,3.11604,0.55306,9.97084,12.7997,3.236,0.877114,9.88099,12.7975,3.17253,0.88422,9.96357,12.8001,3.23305,0.873167,0.750783,0.119959,0.324054,0.719826,0.0564919,0.33116,0.748508,0.117003,0.320108
5,9.9547,12.2672,2.8439,0.592778,10.0574,12.7707,3.01371,0.881541,9.9662,12.762,2.94281,0.888813,10.0499,12.7681,3.00566,0.877575,0.513806,0.169817,0.288763,0.494871,0.0989173,0.296035,0.509797,0.161765,0.284797
5.1,10.1906,12.4261,2.70396,0.581966,10.478,12.8929,3.34281,0.757738,10.3789,12.8828,3.27885,0.762291,10.4664,12.8871,3.34325,0.752496,0.548197,0.63885,0.175772,0.493965,0.574889,0.180326,0.537241,0.639286,0.17053
5.2,10.4165,12.5748,2.42595,0.598872,10.587,13.0575,3.21962,0.78347,10.4908,13.0457,3.15453,0.788344,10.5799,13.0509,3.21958,0.777869,0.511988,0.793674,0.184598,0.476759,0.728585,0.189472,0.503471,0.793636,0.178997
5.3,10.6168,12.7115,2.64945,0.558163,10.9738,13.4956,3.43704,0.779031,10.8774,13.4887,3.37729,0.78502,10.9657,13.4896,3.43834,0.774491,0.861567,0.787581,0.220868,0.819701,0.727833,0.226858,0.852691,0.78889,0.216328
5.4,10.8416,12.8518,2.9196,0.518367,10.9955,13.399,3.13937,0.786842,10.8995,13.3884,3.07288,0.792908,10.9903,13.3928,3.13783,0.781862,0.568416,0.219763,0.268475,0.539729,0.153272,0.274541,0.561032,0.218229,0.263495
5.5,11.0952,12.9965,3.02732,0.549167,11.0146,13.426,2.9775,0.794178,10.9179,13.4106,2.90663,0.800369,11.0113,13.4175,2.97354,0.788947,0.43705,0.0498161,0.245011,0.450444,0.120694,0.251203,0.429256,0.0537756,0.239781
5.6,11.3534,13.1545,3.08193,0.492591,11.4491,13.2628,3.01263,0.691936,11.3444,13.2387,2.93291,0.696181,11.4391,13.2492,3.00462,0.68657,0.144512,0.0692995,0.199346,0.0846584,0.149016,0.20359,0.12771,0.0773074,0.193979
5.7,11.6249,13.3002,3.28368,0.510804,11.6278,13.1697,2.87166,0.665628,11.5191,13.1379,2.78411,0.66919,11.6158,13.1525,2.85952,0.659949,0.130555,0.412026,0.154824,0.193828,0.499573,0.158386,0.147988,0.424162,0.149145
5.8,11.9114,13.4608,3.38691,0.522139,11.9623,13.4495,2.95279,0.672719,11.859,13.4247,2.8726,0.677188,11.9522,13.4348,2.94345,0.667623,0.0521102,0.434117,0.15058,0.063636,0.51431,0.155049,0.0483521,0.443458,0.145484
5.9,12.205,13.6297,3.10891,0.530008,11.8991,13.3058,2.73178,0.661647,11.7888,13.2721,2.64287,0.665785,11.8874,13.287,2.71825,0.656081,0.445445,0.377123,0.13164,0.54869,0.466031,0.135777,0.467178,0.390651,0.126073
6,12.4732,13.7869,3.27512,0.533276,12.3198,13.5344,2.88661,0.643682,12.2143,13.5069,2.80406,0.648508,12.3085,13.5171,2.87471,0.638989,0.295416,0.388517,0.110406,0.381345,0.471067,0.115231,0.316025,0.400418,0.105713
6.1,12.7552,13.9534,3.14619,0.54224,12.5634,13.803,3.06645,0.637715,12.4544,13.779,2.98733,0.644212,12.5496,13.7857,3.05471,0.634412,0.243687,0.0797392,0.0954754,0.347741,0.158857,0.101972,0.265284,0.0914767,0.0921725
6.2,13.0247,14.1157,2.98735,0.599178,12.989,14.288,3.29781,0.661317,12.8843,14.2706,3.22822,0.669464,12.9768,14.2724,3.29049,0.659029,0.17591,0.310466,0.0621396,0.209059,0.24087,0.0702868,0.163795,0.303143,0.0598519
6.3,13.2714,14.2842,2.76412,0.630499,12.9833,14.2412,3.03782,0.669465,12.8785,14.2244,2.96443,0.677862,12.9732,14.2272,3.02991,0.666716,0.291293,0.273699,0.0389663,0.397416,0.200311,0.047363,0.303571,0.265795,0.0362173
6.4,13.4947,14.4472,2.66557,0.645013,13.1473,14.6991,3.1158,0.725144,13.0474,14.6878,3.05115,0.735688,13.1401,14.6869,3.1122,0.723203,0.429141,0.450224,0.0801313,0.507888,0.385582,0.0906751,0.428013,0.446625,0.07819
6.5,13.7077,14.6074,2.46432,0.604415,13.3745,14.8174,3.10444,0.711479,13.2737,14.8072,3.03901,0.722009,13.3672,14.8054,3.1006,0.709561,0.393837,0.640115,0.107064,0.477745,0.574692,0.117594,0.393867,0.636276,0.105146
6.6,13.9105,14.7475,2.70592,0.661574,13.4107,14.6985,2.8847,0.690628,13.3063,14.6859,2.81179,0.700623,13.4025,14.6867,2.87752,0.688261,0.50215,0.178784,0.0290543,0.60724,0.105878,0.0390495,0.511599,0.171604,0.0266871
6.7,14.124,14.9137,2.76103,0.70712,14.0056,14.9522,3.13865,0.651222,13.9058,14.9453,3.07157,0.660878,13.999,14.9411,3.13375,0.649203,0.124502,0.377615,0.0558985,0.220483,0.310541,0.0462418,0.127945,0.372718,0.0579169
6.8,14.3339,15.0931,2.89538,0.656593,14.2892,14.9036,2.9645,0.632279,14.1889,14.8961,2.89244,0.641113,14.2837,14.8932,2.95839,0.629512,0.194637,0.0691171,0.0243141,0.244595,0.00294708,0.0154804,0.20607,0.0630037,0.0270812
6.9,14.5632,15.2698,3.08621,0.69661,14.6671,15.115,2.96013,0.64189,14.5728,15.1105,2.89183,0.65072,14.6653,15.1056,2.95669,0.638865,0.186477,0.126085,0.0547198,0.159642,0.194387,0.0458898,0.193418,0.129521,0.0577447
7,14.7999,15.4678,2.83531,0.698703,14.887,15.6076,3.14717,0.687126,14.7957,15.61,3.08857,0.698402,14.8856,15.5996,3.1477,0.685466,0.164695,0.311868,0.0115768,0.142232,0.253263,0.000301086,0.157221,0.312392,0.0132372
7.1,15.017,15.6502,3.01487,0.64826,15.3129,15.7517,3.36884,0.629172,15.2175,15.7552,3.3088,0.639764,15.3092,15.7428,3.36818,0.627864,0.312799,0.353969,0.0190877,0.226308,0.293926,0.0084958,0.306536,0.353311,0.0203951
7.2,15.2573,15.8322,2.76607,0.641323,15.6017,15.7985,3.20863,0.62836,15.5057,15.8033,3.14544,0.638845,15.5999,15.7914,3.20839,0.626531,0.346045,0.442567,0.012963,0.250042,0.379372,0.00247722,0.344953,0.442325,0.0147921
7.3,15.479,15.9977,2.82047,0.629189,16.2163,15.7276,3.55987,0.501178,16.1076,15.7319,3.48627,0.510435,16.206,15.7182,3.55079,0.500247,0.78521,0.7394,0.128011,0.68247,0.665801,0.118754,0.778935,0.730318,0.128942
7.4,15.707,16.1637,3.01519,0.617841,16.5449,15.9833,3.64894,0.51122,16.4342,15.989,3.57515,0.521309,16.5336,15.9734,3.63999,0.510744,0.857032,0.633751,0.106621,0.747885,0.559963,0.0965326,0.84816,0.624799,0.107097
7.5,15.9528,16.3384,2.91877,0.576678,16.7859,16.0711,3.51705,0.518789,16.675,16.0769,3.4418,0.528862,16.777,16.0625,3.51057,0.51785,0.87493,0.59828,0.0578886,0.768075,0.523034,0.0478161,0.869105,0.591801,0.0588278
7.6,16.1975,16.4975,2.93169,0.551015,17.161,16.341,3.54954,0.537299,17.052,16.3497,3.47704,0.547903,17.1542,16.3328,3.54609,0.536352,0.976121,0.617855,0.0137166,0.867202,0.545348,0.0031121,0.970832,0.614401,0.0146637
7.7,16.4472,16.651,3.03427,0.59435,17.3329,16.4006,3.4875,0.529739,17.2197,16.4081,3.41026,0.540586,17.3248,16.3929,3.4822,0.528954,0.9204,0.453227,0.0646105,0.809705,0.375987,0.0537636,0.914702,0.447926,0.0653955
7.8,16.6986,16.8209,2.96129,0.54395,17.5347,16.5449,3.38383,0.546059,17.4218,16.5524,3.30633,0.557134,17.5284,16.538,3.3805,0.54504,0.880457,0.422538,0.00210829,0.771384,0.345046,0.0131837,0.876709,0.419213,0.00108976
7.9,16.952,16.9742,3.01794,0.544148,17.8534,16.4588,3.23075,0.519568,17.7403,16.4624,3.14797,0.529234,17.8496,16.452,3.22663,0.517629,1.03834,0.21281,0.0245802,0.939809,0.130026,0.014914,1.03837,0.208693,0.0265187
8,17.2102,17.1304,2.78369,0.592487,17.9894,16.3486,2.98578,0.507942,17.8754,16.3447,2.89724,0.516176,17.9876,16.3413,2.98115,0.50498,1.10377,0.202096,0.0845456,1.02947,0.11355,0.076311,1.10769,0.197465,0.0875069
8.1,17.4412,17.2858,2.91856,0.641308,18.3018,16.6932,3.07098,0.539741,18.1946,16.6986,2.99193,0.549564,18.3022,16.6878,3.07049,0.537439,1.04495,0.152417,0.101567,0.955232,0.0733638,0.0917443,1.04837,0.15193,0.103868
8.2,17.675,17.4604,2.88699,0.617275,18.3118,17.1386,3.06442,0.60878,18.2044,17.1504,2.99229,0.621315,18.3106,17.1348,3.06737,0.607575,0.713506,0.17743,0.00849471,0.613482,0.105301,0.00404044,0.714148,0.180387,0.00969931
8.3,17.9104,17.6275,3.14792,0.588894,18.4423,17.1701,2.89045,0.614913,18.3356,17.1792,2.81554,0.627118,18.4424,17.1665,2.89249,0.613247,0.701521,0.257475,0.0260187,0.617877,0.33238,0.0382241,0.703944,0.255435,0.0243526
8.4,18.1722,17.8024,3.22487,0.616209,18.8323,17.0678,2.85217,0.568072,18.7284,17.0717,2.77227,0.578158,18.8347,17.0623,2.85105,0.565511,0.987555,0.372697,0.0481362,0.918313,0.452594,0.0380509,0.99329,0.373819,0.0506972
8.5,18.4354,17.9888,2.94723,0.667369,19.0047,16.9665,2.68102,0.548497,18.901,16.9632,2.59543,0.557096,19.0079,16.9588,2.67716,0.545015,1.17007,0.266209,0.118872,1.12634,0.351798,0.110274,1.17837,0.270072,0.122354
8.6,18.6669,18.1712,3.18857,0.68461,19.3429,17.3151,2.79742,0.577166,19.249,17.3219,2.7232,0.587206,19.3494,17.3103,2.7982,0.574466,1.09077,0.391151,0.107444,1.02965,0.465376,0.0974044,1.09856,0.390377,0.110144
8.7,18.9139,18.3728,3.05504,0.656369,19.5388,17.9442,2.92201,0.662967,19.4527,17.961,2.86238,0.675919,19.5468,17.9421,2.92982,0.661551,0.757776,0.133033,0.00659811,0.678164,0.192659,0.0195502,0.765576,0.125225,0.00518203
8.8,19.1559,18.5593,3.33407,0.670911,19.5226,18.1487,2.89281,0.681227,19.4333,18.1653,2.83241,0.695143,19.5271,18.1474,2.89904,0.680559,0.550429,0.441264,0.0103163,0.481819,0.501667,0.0242322,0.554414,0.435033,0.00964828
8.9,19.4171,18.7665,3.43842,0.661183,19.847,18.0901,2.8016,0.648871,19.7583,18.1055,2.73606,0.661583,19.8534,18.0886,2.80516,0.647519,0.801493,0.63682,0.0123121,0.743904,0.702357,0.000400246,0.806208,0.633254,0.0136638
9,19.6884,18.9777,3.20475,0.648109,20.1686,18.4217,2.87315,0.677068,20.0856,18.4403,2.81344,0.690363,20.1775,18.4209,2.87914,0.675981,0.734577,0.331606,0.0289596,0.668202,0.391318,0.0422544,0.741049,0.32561,0.027872
