time,x_true,y_true,yaw_true,nkf_x,nkf_y,nkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,nkf_xy_error,nkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0.869,3.55299,-3.31381,2.4542,3.52466,-3.29161,2.53362,3.52436,-3.29138,2.53362,3.52466,-3.29161,2.53362,0.0359875,0.079425,0.03637,0.079425,0.0359903,0.079425
0.889,3.55151,-3.31082,2.4799,3.52277,-3.2903,2.54022,3.52244,-3.29004,2.54022,3.52276,-3.2903,2.54022,0.0353156,0.060319,0.0357251,0.060319,0.0353185,0.060319
0.909,3.54995,-3.30984,2.484,3.5216,-3.2895,2.54124,3.52126,-3.28923,2.54124,3.52159,-3.28949,2.54124,0.0349005,0.057244,0.0353273,0.057244,0.0349036,0.057244
0.925,3.54946,-3.30948,2.4857,3.52138,-3.28935,2.54124,3.52104,-3.28908,2.54124,3.52137,-3.28935,2.54124,0.0345536,0.055544,0.0349836,0.055544,0.0345567,0.055544
0.94,3.54422,-3.30584,2.5091,3.51663,-3.28609,2.54124,3.51623,-3.28579,2.54124,3.51662,-3.28609,2.54124,0.0339305,0.032144,0.0344314,0.032144,0.0339341,0.032144
1.031,3.54366,-3.30544,2.5109,3.51548,-3.28531,2.54124,3.51507,-3.28499,2.54124,3.51548,-3.28531,2.54124,0.0346282,0.030344,0.0351503,0.030344,0.034632,0.030344
1.041,3.53849,-3.30164,2.5255,3.51113,-3.28233,2.54124,3.51064,-3.28197,2.54124,3.51112,-3.28233,2.54124,0.0334867,0.015744,0.0340898,0.015744,0.0334911,0.015744
1.173,3.53514,-3.29944,2.526,3.50863,-3.28062,2.54124,3.5081,-3.28022,2.54124,3.50863,-3.28062,2.54124,0.0325098,0.015244,0.0331687,0.015244,0.0325148,0.015244
1.176,3.53471,-3.29912,2.5263,3.50863,-3.28062,2.54124,3.5081,-3.28022,2.54124,3.50863,-3.28062,2.54124,0.0319802,0.014944,0.0326391,0.014944,0.0319852,0.014944
1.194,3.53309,-3.29722,2.5312,3.50597,-3.2788,2.54124,3.50539,-3.27837,2.54124,3.50597,-3.2788,2.54124,0.0327805,0.010044,0.0335004,0.010044,0.0327861,0.010044
1.244,3.53052,-3.2957,2.5285,3.50386,-3.27735,2.54124,3.50324,-3.27689,2.54124,3.50385,-3.27735,2.54124,0.0323649,0.012744,0.0331358,0.012744,0.032371,0.012744
1.271,3.52963,-3.29534,2.5258,3.50321,-3.27691,2.54124,3.50257,-3.27644,2.54124,3.5032,-3.2769,2.54124,0.0322128,0.015444,0.0329998,0.015444,0.0322189,0.015444
1.285,3.52687,-3.29367,2.5201,3.50071,-3.2752,2.54124,3.50003,-3.2747,2.54124,3.50071,-3.2752,2.54124,0.03202,0.021144,0.0328685,0.021144,0.0320266,0.021144
