time,x_true,y_true,yaw_true,nkf_x,nkf_y,nkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,nkf_xy_error,nkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
270.83,2.7542,1.39693,0.7565,2.53757,1.5701,6.99401,2.26468,1.15401,7.0838,2.5393,1.56343,7.01983,0.277332,0.0456732,0.546479,0.0441106,0.271852,0.0198518
270.892,2.75357,1.39665,0.7194,2.53757,1.5701,6.96484,2.26468,1.15401,7.05462,2.5393,1.56343,6.99066,0.277018,0.0377451,0.545786,0.0520387,0.271528,0.0119237
270.932,2.75352,1.39711,0.7062,2.53757,1.5701,6.9424,2.26468,1.15401,7.03218,2.5393,1.56343,6.96822,0.276688,0.0469852,0.545945,0.0427986,0.271203,0.0211638
271.044,2.75349,1.397,0.6464,2.5382,1.57174,6.9083,2.26463,1.15409,6.9875,2.53978,1.56454,6.94092,0.277274,0.0212812,0.54588,0.0579169,0.271547,0.0113307
271.075,2.75356,1.39788,0.6172,2.5382,1.57174,6.8825,2.26463,1.15409,6.9617,2.53978,1.56454,6.91511,0.276779,0.0178872,0.546332,0.0613109,0.271065,0.0147247
271.105,2.75382,1.39774,0.5993,2.5382,1.57174,6.85838,2.26463,1.15409,6.93757,2.53978,1.56454,6.89099,0.277074,0.0241102,0.546506,0.0550879,0.27136,0.00850167
271.166,2.75288,1.39727,0.5599,2.5382,1.57174,6.83201,2.26463,1.15409,6.91121,2.53978,1.56454,6.86462,0.276638,0.0110771,0.545454,0.068121,0.270908,0.0215347
271.197,2.75262,1.39749,0.5509,2.5382,1.57174,6.82191,2.26463,1.15409,6.90111,2.53978,1.56454,6.85452,0.276292,0.0121752,0.545318,0.0670229,0.270563,0.0204366
271.208,2.7526,1.39764,0.5469,2.5382,1.57174,6.81911,2.26463,1.15409,6.8983,2.53978,1.56454,6.85172,0.276191,0.0109801,0.54537,0.068218,0.270463,0.0216317
271.228,2.75285,1.39782,0.5389,2.5382,1.57174,6.80396,2.26463,1.15409,6.88316,2.53978,1.56454,6.83657,0.276266,0.0181271,0.545678,0.061071,0.270544,0.0144847
271.268,2.75349,1.39751,0.4994,2.53782,1.57288,6.74304,2.26539,1.15396,6.85157,2.53913,1.56571,6.74688,0.27797,0.0395453,0.545493,0.0689886,0.272476,0.0357052
